The next event ID to use is : ,,,,,F,088,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,All entries need a short headline,"Descriptions need to be accessible to a general audience, spell out acronyms and be 70 words or less",,,,Image Information,,,,,,Oral History Excerpts Data,,,,,Additional Information,Linked Events Information,
JB,F010,FALSE,009,010,1946,Foundation of The National Agricultural Advisory Service (NAAS),"The state set up the National Agricultural Advisory Service (NAAS) in 1946 under the Ministry of Agriculture, Fisheries (this became the 'Ministry of Agriculture Fisheries and Food', MAFF, in 1955). The NAAS worked with MAFF and the Agricultural Improvement Council to offer advice to enquirers, by publication and specialist advisors, based on agricultural research. Gradually, commercial advisory services also started to offer farmers access to advice based on their own research. All shared a common interest in agricultural science, and improvements through mechanisation, statistical techniques, technological and veterinary medical advances, and were supported by University Agriculture Departments.
",96,Policy Events,2,R010,P FS PH1/K33252,National Farmers Union members in an orchard at East Malling Research Station,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110016620,,,,,,,,
AW,F011,FALSE,010,011,1946,Sulpha drugs applied to 'foot rot' in cattle,"During this period 'Foot rot' was the most common foot disease found in cattle. 'Bacillus necrophorus' was a known cause, though conditions underfoot were also implicated. It caused severe inflammation, lameness and discharge. Treatment involved surgical removal of diseased tissue, and use of poultices and antiseptic dressings. In 1946, an easier and more effective therapy was announced: intra-venous injections of the new anti-bacterial drug, sulphapyridine.",65,Animal Health and Veterinary Medicine,1,R011,P 2FW PH2/1179/3,Black and white photograph of a sheep's foot being treated for foot rot. 20 May 1971 [published 30 Aug 1985  p. 70],Keith Huggett,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/archive/110367148,,,,,,"Forman, CR, ‘Single Injection Specific Treatment for Foot-Rot in Cattle. JAVMA, 109, (1946): 126-128",,
AW,F012,FALSE,011,012,1947,BVD research begins,"Early cases of BVD resembled a mild form of the highly contagious, fatal rinderpest or cattle plague. During WWII and the Cold War, it was feared that rinderpest could be used as a biological weapon and this led the US Army to bankroll much early BVD research. Work initially took place at a research station on Grosse Isle, Canada, and then at Cornell University’s new Veterinary Virus Research Institute. ",69,Animal Health and Veterinary Medicine,1,R012,Aerial_Baker_Institute-1979web,"An aerial view of the site of the Veterinary Virus Research Institute, later renamed The Baker Institute for Animal Health, at Cornell University.",N/A,The Baker Institute for Animal Health at Cornell University,N/A,,,,,,,1946 First reported outbreak of BVD; 1956 BVD misdiagnosed as rinderpest; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1960 BVD virus shown to resemble swine fever; 1965 BVD vaccines adopted for use in US feedlots; 1967 Discovery that BVD could infect calves in the womb; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1986 New ideas about BVD control; 1995 Safe BVD vaccines licenced in the UK,F007; F030; F035; F036; F041; F043; F050; F054; F058; F063; F069; F083 
KS,F013,FALSE,012,013,1947,Extreme weather,"Farms in the upland and hill farming regions of Britain experienced high losses of stock, especially in sheep farming districts, due to extreme weather conditions of long-lasting cold and snow. Combined with a rapid thaw that led to flooding, it was estimated in April 1947 that this had resulted in the direct loss of over a million sheep and probably two million lambs, with additional longer-term effects. ",67,Production Practices,3,R013,P FW PH1/OS/285/3953,"Mr Beresford's farm, Camfell, Yorkshire, sheep in snow. Feb 1951",Charles Topham,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/archive/110025944,,,,,,[http://www.courtofrecord.org.uk/hansard.millbanksystems.com/commons/1947/apr/18/hill-farming-losses#S5CV0436P0_19470418_HOC_227 ] ,,
JB,F014,FALSE,013,014,1947,Agriculture Act,"Following WW2, ongoing food shortages led to the 1947 Agriculture Act being passed, aimed at increasing British agricultural production. It set up a system of supporting farmers via guaranteed prices for 11 key products (including sheep, cattle, milk, eggs, wool etc.) to subsidise farm incomes. The National Farmers Union worked closely with the government to agree the direction that farming ought to take, and continued to be involved in the Annual Reviews that then took place each year after the Act came into force. The aim was to make post-WW2 British agriculture self-supporting through greater efficiency and increased production.",99,Policy Events,2,R014,P DX289 PH1/1019,Chickens at Bowen farm,Eric Guy,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110007091,,,,,,,,
KS,F015,FALSE,014,015,1947,Milking machines,"45,000 milking machines were in use in England and Wales, up from 25,000 before the Second World War. This shift was driven by technological improvements, and the increasing costs and reduced availability of farm labour.  ",35,Production Practices,3,R015,P FS PH2/D7/1,"A Vaccar Hodair milking machine, 1951",,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110329694,,,,,,,,
KS,F016,FALSE,015,016,1947,Dairy Farming,"There were about 9 million cattle on UK farms at this time, but the average dairy herd contained around 15 cows, which were known by name and recognised by their appearance. As herd size started to increase on dairy farms, cattle started to be known by number, but the farmer or ""cowman"" who managed them were still taught to watch them closely for any sign of ill health. ",68,Production Practices,2,R016,P FW PH2/C134/4,Black and white photograph of a dairy herd on the Somerset Hills. Undated [1950s],Eric Guy,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/archive/110263780,,,,,,,,
AW,F017,FALSE,016,017,1948,Veterinary Surgeons Act,"This Act made it unlawful for anyone other than a registered veterinary surgeon to practise veterinary surgery. It followed a long campaign by qualified vets for occupational closure. Established, unqualified ‘vets’ were placed on a Supplementary Register and permitted to continue their work, but no new names were added.  ",49,Policy Events,2,R017,P FS PH1/K2MS1416,Vet examining a horses hoof,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110015192,,,,,,,,
JB,F018,FALSE,017,018,1949,National Parks and Access to the Countryside Act,"Following growing public demand for access to the countryside, the post-war Labour Government passed an Act of Parliament to establish National Parks. The aim was to preserve and enhance their beauty and provide recreational opportunities for the public. The Act created the National Parks Commission which later became the Countryside Commission, then the Countryside Agency, and finally Natural England when it merged with English Nature in 2006.  ",67,Policy Events,3,R018,P FS PH1/K69326,Welsh ponies in the Brecon hills - a national park established in 1957,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110019506,,,,,,,,
AW,F019,FALSE,018,019,1950,British Wool Marketing Board (BWMB) established,"Like the Milk Marketing Board, the British Wool Marketing Board (BWMB) was a producer-run organisation that aimed to bring stability to the industry by negotiating prices on behalf of all producers. However, its achievements were limited by competition with imported wool, as well as with artificial fibres.",47,Policy Events,3,R019,P FS PH1/K92139,"British Wool Marketing Board stand at the Romsey Show, 1960",,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110020999,,,,,,"Martin, John. The Development of Modern Agriculture: Modern farming since 1931 (Palgrave Macmillan, 1999).  ",1933 milk marketing board,F001
AW,F020,FALSE,019,020,1951,Livestock Rearing Act ,"The 1951 Livestock Rearing Act aimed to extend the provisions of the 1946 Hill Farming Act. It made more farms eligible for subsidies for producing hill sheep and hill cattle, and for grants to improve hill land. ",37,Policy Events,2,R020,P FS PH1/K60649,"Blackface lambs at the Hill Farming Research Organisation, August 1955",,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110018938,,,,,,"Martin, John. The Development of Modern Agriculture: Modern farming since 1931 (Palgrave Macmillan, 1999).  ",1946 Hill Farming Act,F009
KS,F021,FALSE,020,021,1952,Moving milk,Most milk was transported from farm to processor in 10- or 12-gallon churns made of steel and lined with tin. Later churns were made of aluminium. The job of cleaning the churns and maintaining cleanliness in the dairies fell traditionally to the farmers’ wives.,44,Production Practices,3,R021,P FS PH1/K46975,Churn receiving bay at the new Milk Marketing Board new creamery at Felin Fach. May 1952,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110017757,,,,,,,,
AW,F022,FALSE,021,022,1953,First reported outbreak of Mucosal Disease,"US researchers, Ramsey and Chivers, reported the appearance of a new disease in Iowa, mostly affecting beef calves. The main symptom was ulceration of mucous membranes in the nose and mouth, so they named it Mucosal Disease. Infection rates were much lower than for BVD (up to 50%), but far more infected cows died (90%). This led many to believe - at least initially - that the diseases were separate entities. ",71,Animal Health and Veterinary Medicine,1,R022,P FW PH2/C8/10,"A group of 8 month old calves at a BOCM demonstration of intensive beef production at Mr Frank Niven's Farm, Carsebank, Forfar, Angus",Alex Cowper,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110263529,,,,,,,,
AW,F023,FALSE,022,023,1954,End of food rationing,"Rationing began in 1940 and covered almost all foods by August 1942. After the war, the economy would not allow more food imports. In addition, severe weather in 1946-7 damaged crop production. Consequently, rationing became even stricter. Bread came off the ration in 1948, sugar in 1953, and meat and other foods in 1954. Increased domestic food production, encouraged by the 1947 Agricultural Act, was important in ending rationing.",69,Policy Events,2,R023; R079,Object Number 2019/55,"A Ministry of Food ration book, dated 1950-1951",,"The Museum of English Rural Life, University of Reading.","http://www.reading.ac.uk/adlib/Details/collect/21388
http://www.reading.ac.uk/adlib/merl_archives/110008133
",,,,,,,1947 Extreme Weather; 1947 Agriculture Act,F013; F014
KS,F024,FALSE,023,024,1954,Global food production improving,"The UN reported that agricultural production had recovered to its pre-war levels per head of population worldwide, but the costs of processing and distributing food had increased.",27,Production Practices,3,R024,P FW PH2/C53/3,Gathering the crops: stacking the harvest onto a tractor-drawn trailer,Alex Cowper,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110008304,,,,,,,,
KS,F025,FALSE,024,025,1954,The national herd,"The number of dairy cows was increasing with the push to produce more milk. In England and Wales in 1934 - when the Milk Marketing Board was established - the number of cows stood at 141,000, but in just twenty years had risen to 162,000. The actual size of a herd could vary dramatically, e.g. in Scotland it was anything between 4 to 20 individuals. The total number of UK beef and dairy cattle peaked in 1975 at 15.2 million, but started to decline as milk quotas began to come in during the 1980s.",94,Production Practices,2,R025,P FS PH2/B22/4,Black and white photograph of a herd of cattle in a field. 23 Feb 1954,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110329273,,,,,,,,
KS,F026,FALSE,025,026,1954,Milk Marketing Board promotion,"Milk was sold direct to domestic customers using 'milkmen' on regular doorstep deliveries, with another 60% sold direct to businesses such as hotels, hospitals, cafes and to the catering trade, confectionary and chocolate manufacturers. Amid fears of a decline in fresh milk consumption, the National Milk Publicity Council supported the dairy sector by trying to increase sales. As well as using press (and, later TV) advertising, they and the Milk Marketing Board promoted sales using cookery demonstrations and books, and from 1958 also sponsored cycling races. ",86,Production Practices,3,R026,P FS PH1/K54116,"Milk Marketing Board offices at Thames Ditton, Surrey. April 1954",,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110018351,,,,,,,,
KS,F027,FALSE,026,027,1954,Refrigerated bulk storage on the farm.,"Lord Rayleigh’s Dairies with Strutt and Parker Farms in Essex started using the first refrigerated vat in England for the bulk storage milk on the farm. The refrigerated vats had to be imported from Wisconsin, USA. Processed and bottled at Hatfield Peverel, the milk was delivered to consumers in London.",50,Production Practices,3,R027,P FS PH2/D14/1,"A milk tanker, Lord Rayleigh's Dairies",,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110329728,,,,,,,,
NG,F028,FALSE,027,028,1955,Footrot Eradication trials and propaganda campaign,"Following interventions by the animal welfare group UFAW (Universities Federation for Animal Welfare), government vets agreed to undertake footrot eradication trials using a new antibiotic, chloramphenicol. UFAW launched a propaganda campaign to alert farmers to the welfare impacts of footrot and methods of managing the disease. ",46,Animal Health and Veterinary Medicine,1,R028,P 2FW PH2/1179/3,Black and white photograph of a sheep's foot being treated for foot rot. 20 May 1971 [published 30 Aug 1985  p. 70],Keith Huggett,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/Details/archive/110367148,,,,,,,1941 Discovery of the bacterial cause of Footrot in Sheep; 1997 First outbreak of C.O.D.D. in UK; 2003 Routine foot trimming shown to increase prevalence of footrot,F003; F070; F076
KS,F029,FALSE,028,029,1955,Friesian cows dominate the national herd,A Milk Marketing Board survey shows that 40.6% British cows are Friesians and 25.3% are Dairy Shorthorns,17,Production Practices,3,R029,P TAR PH3/2/2/2/7,The Barton herd of British Friesians ,John Tarlton,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110354961,,,,,,,,
AW,F030,FALSE,029,030,1956,BVD misdiagnosed as rinderpest ,"In 1956, vets suspected that rinderpest - a deadly cattle disease not seen in Britain since 1877 – had broken out in Kent. Vets eventually concluded that the disease was an unknown condition. It resembled recent reports of Mucosal Disease in the USA, and a number of other puzzling outbreaks in British calves, involving diarrhoea, sores in the mouth and around the muzzle, unthriftiness and frequently death.  ",67,Animal Health and Veterinary Medicine,2,R030,N/A,A Disease of Cattle in Britain Resembling the Virus Diarrheoa Mucosal Disease Complex,N/A,"Reproduced from ‘A Disease of Cattle in Britain Resembling the Virus Diarrheoa Mucosal Disease Complex’ C. Dow, W.F.H. Jarrett and W.I.M McIntyre, Veterinary Record 1 June 1956, 70: 1, 620-623, with permission from BMJ Publishing Group Ltd",N/A,,,,,,,1946 First reported outbreak of BVD; 1947 BVD research begins; 1960 Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus; 1960 BVD virus shown to resemble swine fever; 1965 BVD vaccines adopted for use in US feedlots; 1967 Discovery that BVD could infect calves in the womb; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1986 New ideas about BVD control; 1995 Safe BVD vaccines licenced in the UK,F007; F012; F035; F036; F041; F043; F050; F054; F058; F063; F069 
AW,F031,FALSE,030,031,1956,First published UK account of ‘Mucosal Disease Complex’ ,"In 1956, veterinary researchers from Glasgow University reported a ‘syndrome characterised by ulceration of the mouth and alimentary tract’, seen on 35 farms since 1953. They suggested that a single virus was responsible for its varying clinical presentations. Vets at the government’s Central Veterinary Laboratory published a second report in 1957, which noted its similarity with rinderpest, malignant catarrh, coccidiosis, corrosive poisoning, and other conditions that resulted in diarrhoea. ",69,Animal Health and Veterinary Medicine,1,R031,N/A,N/A,Rodolfo Clix,Photo by Rodolfo Clix from Pexels,https://www.pexels.com/photo/photo-of-clear-glass-measuring-cup-lot-1366942/,,,,,,"Dow, C, WFH Jarrett, and WIM McIntyre, ‘A Disease of Cattle in Britain Resembling the Virus Diarrhoea Mucosal Disease Complex’, Veterinary Record, 70 (1956), 620–23; Huck, R. A., ‘Mucosal Disease Complex’, Journal of Comparative Pathology and Therapeutics, 67 (1957), 267–76 ",,
JB,F032,FALSE,031,032,1957,BBC started agricultural television service ,"Starting 12:30p.m., 3rd October, 1957, the BBC began broadcasting a weekly 30-minute ‘television service for farmers' called 'Farming', produced at Pebble Mill, Birmingham. In 1951 the BBC had begun broadcasting 'The Archers' on the radio, and regarded its long tradition of providing agricultural programmes as an important part of its function as a public service broadcaster. It broadcast daily market reports for farmers, weather forecasts and day by day reflections of farming topics in news bulletins, providing a valuable service for the agricultural community. 

'Farming' came to an end after 1,576 episodes on 17th July 1988, and during its last broadcast previewed the new series 'Country File' that was slated to replace it a week later on 24th July 1988. From the outset, by reporting on the 50th anniversary of the mass trespass of Kinder Scout, 'Country File' focused on subjects that were more about country life and landscapes than agriculture.",151,Policy Events,2,R032,P FW PH1/57/12/2/2,"The Archers, B.B.C. radio programme, 9 December 1957",Charles Topham,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110023858,,,,,,,,
JB,F033,FALSE,032,033,1957,Agriculture Act,"Agricultural production had increased considerably under the favourable terms of the 1947 Agriculture Act. The 1957 Act maintained the principle of guaranteed prices, but sought to make production more efficient by reducing subsidy levels. In subsequent years, farmers' costs increased faster than their incomes. This so-called 'cost-price squeeze' forced them to search for efficiency savings, often achieved through economies of scale and reductions in ""manpower"". Whereas at the end of the 1940s there were almost 900,000 men and women employed in agriculture, by June 1957 there were 606,674. But, a faster decline was to come: in less than a decade, by June 1965 the number had fallen dramatically to 450,515. By 1973 it was down to 345,987.",117,Policy Events,2,R033,P FW PH1/57/3/4/2/10,"Mr R.F.Smith's Bower Farm, Eynsford, Kent, 1957.",Charles Topham,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110023946,,,,,,"Martin, John. The Development of Modern Agriculture: Modern farming since 1931 (Palgrave Macmillan, 1999).  ",1947 Agriculture Act,F014
AW,F034,FALSE,033,034,1958,"National Survey of Disease, Wastage and the British Dairy Herd ","During the 1950s, the State Veterinary Service made its first attempts to measure the incidence and cost of endemic livestock diseases in Britain, with a view to planning research and methods of control. It used new computer technology to analyse data from a representative sample of dairy herds. ‘Foul-in-the-foot’ was identified as the most serious, non-reproductive disease of cattle, with an annual incidence of 2.79%. ",65,Animal Health and Veterinary Medicine,1,R034,MERL LIBRARY--4370-DIS,"Disease, wastage and husbandry in the British dairy herd : report of a national survey in 1957-58, F.B. Leech ... [et al.].",,"The Museum of English Rural Life, University of Reading.",N/A,,,,,,,,
AW,F035,FALSE,034,035,1960,Breakthrough in laboratory diagnosis shows BVD and MD caused by same virus,"Virologists at Cornell University discovered how to visualise BVD virus in cell culture. Previously, diagnosis depended on the difficult, expensive method of injecting spleen from suspected cases into experimental calves. Cell culture made it possible to identify cows that had been exposed to BVD and to survey its prevalence. Comparison of sera from different outbreaks showed that the viral causes of BVD and Mucosal Disease were similar if not identical. ",70,Animal Health and Veterinary Medicine,1,R035,P FS PH1/K44862,Man in a laboratory studying  cultures under a microscope,,"The Museum of English Rural Life, University of Reading.",http://www.reading.ac.uk/adlib/merl_archives/110017606,,,,,,,1946 First reported outbreak of BVD; 1947 BVD research begins; 1956 BVD misdiagnosed as rinderpest; 1960 BVD virus shown to resemble swine fever; 1965 BVD vaccines adopted for use in US feedlots; 1967 Discovery that BVD could infect calves in the womb; 1972 Close relationship demonstrated between BVD and Border Disease in sheep; 1977 Breakthrough in sheep sets the scene for new understandings of BVD; 1980 BVD identified as ‘possibly the most important viral pathogen of the bovine fetus in Britain’; 1986 New ideas about BVD control; 1995 Safe BVD vaccines licenced in the UK,F007; F012; F030; F036; F041; F043; F050; F054; F058; F063; F069; F083 
